Date,Close,High,Low,Open,Volume
04-03-2021,2853.334229,2883.039892,2821.850994,2828.353448,3916760
05-03-2021,2814.365234,2865.964099,2803.652532,2821.89695,3203686
08-03-2021,2813.335938,2837.708654,2803.091041,2821.803264,2003125
09-03-2021,2854.503174,2869.426128,2799.442587,2813.336278,1942397
10-03-2021,2873.21582,2894.033174,2862.970921,2877.005092,3053778
12-03-2021,2861.052002,2916.299885,2845.520994,2877.004217,2938317
15-03-2021,2868.724609,2899.459533,2845.194076,2845.194076,3097083
16-03-2021,2909.797852,2938.754974,2862.970462,2862.970462,4894756
17-03-2021,2912.510742,2951.853238,2886.641185,2905.072679,3838390
18-03-2021,2840.983398,2943.853804,2794.71747,2924.673774,3656306
19-03-2021,2853.801758,2899.459638,2811.51217,2834.902454,5776626
22-03-2021,2928.135986,2937.305023,2824.283126,2852.398293,2821646
23-03-2021,2940.251709,2964.951752,2921.773389,2937.819029,3305973
24-03-2021,2920.136963,2949.327994,2910.827446,2910.874273,2207104
25-03-2021,2867.508057,2929.258395,2853.614139,2911.80911,3179786
26-03-2021,2869.33252,2917.235768,2847.111753,2891.64671,3697370
30-03-2021,2955.175293,2983.149981,2863.812707,2884.489809,4694008
31-03-2021,2973.232178,2998.633931,2930.334312,2951.85337,3530069
01-04-2021,2961.209961,3007.990529,2942.497734,2985.629509,4285076
05-04-2021,3030.351318,3052.899642,2948.111177,2966.823403,5317862
06-04-2021,3054.48999,3064.126832,3022.024326,3064.126832,2291562
07-04-2021,3060.758545,3066.512691,3026.51531,3049.157057,2491268
08-04-2021,3103.749512,3120.262956,3055.752618,3059.448236,2578118
09-04-2021,3108.334717,3138.367932,3095.002255,3138.040376,2911129
12-04-2021,3037.508545,3123.163795,3006.30582,3108.334266,3791828
13-04-2021,2904.184082,3007.054491,2875.180134,3007.054491,8654596
15-04-2021,3011.685791,3028.807523,2888.652911,2956.812283,6062760
16-04-2021,2989.418213,3037.929748,2977.676474,3021.088745,3224657
19-04-2021,2958.215576,2983.664155,2933.234802,2964.951931,2679106
20-04-2021,2942.076172,3017.673601,2925.048094,3017.346045,3141893
22-04-2021,2917.984375,2945.304177,2905.306797,2945.304177,1988980
23-04-2021,2909.283691,2918.172,2892.021707,2905.07344,1615309
26-04-2021,2901.143311,2949.98217,2889.214268,2902.312825,2490260
27-04-2021,2930.334473,2934.17057,2903.201746,2906.00858,1471417
28-04-2021,2922.943115,2948.110966,2911.622128,2947.128528,1639037
29-04-2021,2914.66333,2954.05266,2905.541119,2943.059227,1621395
30-04-2021,2840.188232,2930.381295,2825.546008,2899.459297,3072305
03-05-2021,2841.451416,2858.292419,2810.576244,2830.130428,1545831
04-05-2021,2853.380127,2891.038476,2839.579862,2865.589898,1990777
05-05-2021,2896.371582,2899.833298,2855.859571,2872.32642,1939289
06-05-2021,2911.107666,2932.205746,2876.069069,2905.540825,1791671
07-05-2021,2931.17627,2956.391174,2911.43501,2931.269922,1912540
10-05-2021,2942.9646,2960.460481,2923.784573,2943.385579,2137153
11-05-2021,2921.539795,2926.685657,2892.114638,2923.785171,2415625
12-05-2021,2888.793457,2919.107171,2872.888065,2919.107171,1978558
14-05-2021,2855.017822,2898.991552,2844.258293,2898.991552,2043935
17-05-2021,2872.093018,2877.192054,2840.516134,2858.29275,2890462
18-05-2021,2889.916016,2922.849485,2879.811369,2900.394816,2098538
19-05-2021,2883.553711,2917.235714,2869.613195,2885.424933,1986041
20-05-2021,2862.969971,2889.915616,2855.578734,2869.612901,2329027
21-05-2021,2882.149902,2889.354062,2858.385473,2863.905486,1685566
24-05-2021,2883.086182,2905.073047,2874.197874,2883.086182,1652260
25-05-2021,2927.744873,2941.142549,2897.752973,2907.060741,1841613
26-05-2021,2969.583008,2975.694228,2918.154784,2933.385779,1923753
27-05-2021,2989.797363,3025.289455,2972.68599,2972.826927,5959785
28-05-2021,2955.574707,3006.720836,2948.10003,2998.729239,1763701
31-05-2021,2970.19458,2980.724868,2941.472023,2961.591952,1652799
01-06-2021,2964.411865,2980.348001,2944.667923,2979.078885,1377441
02-06-2021,2942.270752,2970.476387,2928.685084,2962.390909,2240078
03-06-2021,2953.365234,2965.869779,2935.877648,2965.869779,1281706
04-06-2021,2955.715576,2968.032129,2938.087054,2940.907617,1836060
07-06-2021,2992.806396,2999.622759,2946.173209,2956.891261,2559821
08-06-2021,3008.741699,3037.746583,2996.566314,3006.720387,2574057
09-06-2021,3008.836182,3027.404892,2995.626496,3010.48151,1710925
10-06-2021,3024.396729,3031.166036,3002.020209,3018.003404,1874324
11-06-2021,3077.987305,3111.081874,3018.943457,3019.460606,3452954
14-06-2021,3080.384033,3110.798967,3074.742907,3082.875439,1847360
15-06-2021,3067.5979,3100.739522,3057.067842,3100.739522,1304985
16-06-2021,3078.504395,3097.637081,3058.431291,3066.987093,1635552
17-06-2021,3119.308105,3136.513588,3065.012259,3070.183292,2273413
18-06-2021,3100.081543,3157.150901,3079.115307,3150.475476,3380431
21-06-2021,3077.329346,3089.457679,3057.209185,3069.713731,1130569
22-06-2021,3103.748291,3128.05224,3088.517293,3106.380863,1708688
23-06-2021,3066.328369,3129.885156,3061.62743,3129.885156,1467104
24-06-2021,3171.817383,3180.655056,3082.405439,3087.576471,4155204
25-06-2021,3178.58667,3196.309071,3149.628842,3173.368582,2722861
28-06-2021,3137.171387,3188.646665,3133.645683,3188.646665,1355238
29-06-2021,3141.026611,3164.954346,3127.534824,3142.107736,1497322
30-06-2021,3145.633545,3179.715355,3138.817183,3145.868592,1693146
01-07-2021,3141.637207,3160.911055,3133.034581,3157.150304,990310
02-07-2021,3126.547363,3139.945039,3098.106683,3131.765451,1682274
05-07-2021,3122.364502,3172.194468,3104.500929,3142.108451,1972858
06-07-2021,3067.174805,3128.945099,3061.345686,3114.842282,2159420
07-07-2021,3079.067871,3086.354326,3047.712747,3079.114926,2640710
08-07-2021,3063.602051,3100.73947,3038.592963,3100.73947,2485811
09-07-2021,3016.263916,3085.696889,3009.541664,3055.610874,6365067
12-07-2021,3002.11377,3042.447735,2997.647877,3041.507547,1892226
13-07-2021,2996.895752,3021.763674,2985.096349,3021.763674,1809339
14-07-2021,3022.280762,3029.285115,2994.498166,2996.378542,2044279
15-07-2021,3017.946777,3045.177644,3009.513778,3041.173125,2232968
16-07-2021,3010.26709,3033.870238,3007.628773,3027.415804,1256526
19-07-2021,3000.65625,3014.978246,2992.552898,2996.321856,1597058
20-07-2021,3020.631592,3029.30015,2973.84926,3000.656159,1811945
22-07-2021,3030.572754,3038.675877,3005.744646,3005.744646,2859334
23-07-2021,3027.274414,3054.316643,3021.432345,3043.43373,1776193
26-07-2021,3012.858154,3038.015905,3006.545195,3015.166595,1259611
27-07-2021,2999.101318,3024.588944,2978.56045,3015.166549,1121367
28-07-2021,3013.093994,3019.359796,2951.471383,3003.86,1660654
29-07-2021,3011.209229,3039.146539,3006.026911,3015.402149,1731997
30-07-2021,2984.496094,3037.308657,2979.690811,3033.06858,2999943
02-08-2021,3033.446045,3038.628363,2984.072782,2996.321897,2608669
03-08-2021,3095.162598,3099.968111,3033.021946,3042.491499,3804735
04-08-2021,3084.845215,3114.290202,3072.83166,3109.390602,2929598
05-08-2021,3094.267822,3123.524409,3074.056828,3085.834823,2534521
06-08-2021,3118.625,3132.004758,3076.412616,3083.526571,2292362
09-08-2021,3130.780029,3144.254104,3118.81363,3131.910671,1510489
10-08-2021,3141.332764,3156.408598,3124.089962,3124.089962,2040777
11-08-2021,3151.037598,3165.925029,3134.925439,3156.502633,1929707
12-08-2021,3158.151611,3173.463005,3133.888941,3133.888941,1310205
13-08-2021,3263.352295,3278.993563,3163.569221,3166.631499,4363584
16-08-2021,3272.35083,3292.514895,3238.006244,3260.148874,2083489
17-08-2021,3347.824707,3355.127064,3262.975979,3280.972848,4336019
18-08-2021,3354.891357,3387.351467,3332.324764,3367.42319,2631309
20-08-2021,3353.901611,3368.506324,3297.838359,3303.491796,2836148
23-08-2021,3427.301758,3460.845575,3356.162678,3373.217304,3744176
24-08-2021,3404.5,3455.522411,3386.78585,3445.77014,2511141
25-08-2021,3447.655029,3484.166817,3398.705723,3401.485284,2123263
26-08-2021,3459.763184,3474.60346,3437.196357,3448.59755,1902533
27-08-2021,3505.272217,3514.082248,3440.210763,3454.250039,3944728
30-08-2021,3487.511719,3524.306224,3474.603081,3500.420356,2033114
31-08-2021,3567.743164,3584.373831,3489.537276,3495.143555,3207480
01-09-2021,3500.373291,3596.246179,3492.882531,3576.741864,2643336
02-09-2021,3615.138184,3636.244261,3507.016178,3518.323054,3403717
03-09-2021,3620.131836,3634.123956,3584.79785,3604.066604,1746812
06-09-2021,3629.506836,3653.628261,3593.701732,3627.339639,1723693
07-09-2021,3595.491699,3646.419791,3588.283659,3640.813512,1585039
08-09-2021,3556.15332,3594.643898,3539.051764,3589.9327,4147175
09-09-2021,3572.407227,3588.708018,3547.532192,3570.805465,1441148
13-09-2021,3623.241455,3629.884061,3549.416884,3549.416884,1691473
14-09-2021,3661.449219,3671.437052,3604.066912,3627.575747,1991188
15-09-2021,3726.133789,3750.113742,3642.698423,3657.868574,2461369
16-09-2021,3677.843994,3751.762647,3667.290956,3703.001746,2946666
17-09-2021,3606.752197,3717.135482,3585.221929,3693.57949,6477148
20-09-2021,3602.65332,3647.409704,3587.907362,3588.990845,2002008
21-09-2021,3639.824707,3647.92806,3600.910162,3635.160667,1568129
22-09-2021,3639.071045,3671.766947,3629.931366,3639.400921,1744067
23-09-2021,3645.760498,3654.947334,3613.488792,3646.467178,2003869
24-09-2021,3647.692139,3716.569714,3632.333587,3665.311973,2320754
27-09-2021,3615.32666,3678.50388,3583.243352,3674.734921,1673362
28-09-2021,3560.86499,3627.622763,3534.576595,3627.622763,2253075
29-09-2021,3572.878418,3586.164089,3507.157203,3542.632663,2489161
30-09-2021,3557.472412,3585.22132,3533.492463,3585.22132,2252412
01-10-2021,3514.742432,3589.933205,3509.842831,3563.314933,1578374
04-10-2021,3555.352783,3565.104825,3493.306213,3509.654162,1356860
05-10-2021,3611.886719,3618.199677,3525.483403,3537.16708,1877966
06-10-2021,3590.781494,3634.642802,3575.799974,3614.431805,1678154
07-10-2021,3668.044678,3673.792432,3599.402657,3608.777895,1647233
08-10-2021,3708.325439,3759.441941,3674.734687,3698.290679,2934339
11-10-2021,3472.71875,3540.465693,3448.597322,3538.110094,11845402
12-10-2021,3441.860107,3492.882291,3420.895276,3491.940051,5752877
13-10-2021,3444.074219,3463.154571,3434.463421,3439.174619,3545655
14-10-2021,3409.380615,3464.654648,3406.312461,3422.172506,6442299
18-10-2021,3443.083252,3448.322762,3399.940321,3401.828416,3590107
19-10-2021,3430.810303,3483.629947,3422.361123,3463.710452,3135441
20-10-2021,3406.926025,3426.892538,3378.085327,3409.899683,2933693
21-10-2021,3334.848389,3405.604715,3314.787376,3402.442294,4871211
22-10-2021,3303.081055,3362.320042,3290.005903,3360.809474,2691670
25-10-2021,3297.510986,3317.902506,3256.964188,3306.998711,2595594
26-10-2021,3287.740234,3331.54395,3280.56538,3298.974309,3878763
27-10-2021,3294.48999,3314.787013,3288.117669,3288.117669,2510813
28-10-2021,3230.199951,3321.159018,3223.922128,3321.159018,2424942
29-10-2021,3207.637451,3267.348457,3196.497644,3209.808807,3960501
01-11-2021,3281.887451,3291.894449,3221.987669,3245.588862,2020718
02-11-2021,3289.250244,3317.005379,3275.608804,3298.501956,3087414
03-11-2021,3296.850098,3322.952921,3272.116098,3308.13142,1537639
04-11-2021,3312.33252,3316.675231,3308.886838,3316.39197,328991
08-11-2021,3306.762939,3349.481096,3286.418666,3349.481096,2526082
09-11-2021,3309.547852,3337.208494,3300.390635,3311.719207,1782692
10-11-2021,3289.344971,3322.764162,3285.474284,3302.278376,1516489
11-11-2021,3293.026611,3313.654142,3243.747375,3285.285468,1284514
12-11-2021,3328.759277,3336.405925,3290.666862,3309.831076,1747259
15-11-2021,3354.484131,3369.872152,3330.599682,3330.599682,1809157
16-11-2021,3357.410645,3375.489294,3343.816452,3369.305736,2013204
17-11-2021,3324.841064,3363.499997,3310.208327,3351.935414,1632914
18-11-2021,3281.226074,3323.84996,3258.474666,3318.468705,2136598
22-11-2021,3264.893799,3319.223779,3247.806677,3283.774749,3167936
23-11-2021,3270.416748,3286.182296,3217.12531,3252.243833,2153461
24-11-2021,3250.638916,3297.605281,3232.418753,3277.921798,2161746
25-11-2021,3253.093994,3269.237303,3241.907167,3251.205899,1849619
26-11-2021,3253.990479,3294.726039,3220.995831,3233.362947,1941251
29-11-2021,3306.054932,3331.874728,3215.851131,3254.273825,2981745
30-11-2021,3331.685303,3364.34944,3295.669981,3295.669981,5588446
01-12-2021,3377.613281,3389.130615,3337.208001,3337.208001,2102118
02-12-2021,3439.070801,3443.885536,3374.120512,3388.375492,3152938
03-12-2021,3436.757813,3460.831025,3427.695094,3442.422098,2486263
06-12-2021,3338.529785,3453.326064,3324.935592,3436.757982,1849642
07-12-2021,3383.938721,3396.683364,3327.1071,3363.169673,1484458
08-12-2021,3423.966309,3442.422486,3399.515567,3399.515567,1428660
09-12-2021,3400.223145,3431.376713,3366.473446,3408.011537,1567957
10-12-2021,3433.312012,3438.221013,3375.064327,3384.410305,1510718
13-12-2021,3407.680664,3457.101638,3400.175533,3445.77307,1883864
14-12-2021,3421.039551,3431.612837,3376.574819,3403.291411,1747007
15-12-2021,3370.580566,3420.284582,3359.063001,3417.452439,1603233
16-12-2021,3381.200928,3406.548467,3370.249884,3381.578455,2072320
17-12-2021,3383.797119,3447.048309,3373.742874,3400.931491,4333992
20-12-2021,3357.883301,3404.236137,3313.749069,3388.187325,2312310
21-12-2021,3406.406494,3437.465563,3366.850767,3382.191539,2340989
22-12-2021,3427.600586,3433.31212,3404.471421,3421.228265,1224328
23-12-2021,3457.762939,3465.126556,3426.89263,3443.885486,1792861
24-12-2021,3465.503906,3497.696018,3440.864405,3478.815068,2209923
27-12-2021,3489.294678,3492.976371,3448.700628,3465.598989,1534135
28-12-2021,3499.159424,3516.577055,3487.170066,3502.416342,1456218
29-12-2021,3487.972412,3511.809613,3478.815197,3485.659542,1456923
30-12-2021,3524.837402,3530.737699,3474.094849,3475.369405,1966475
31-12-2021,3529.18042,3549.618958,3522.524838,3533.381386,1207141
03-01-2022,3604.137451,3615.702033,3535.457993,3540.178231,2346158
04-01-2022,3667.38916,3671.542878,3598.426432,3616.741095,2488606
05-01-2022,3644.920898,3653.464576,3599.087337,3648.744338,1733031
06-01-2022,3594.414063,3620.422621,3560.94762,3598.709525,1810293
07-01-2022,3637.888184,3648.650236,3583.982962,3606.262582,2460591
10-01-2022,3662.763428,3755.421614,3644.968037,3755.421614,3937092
11-01-2022,3696.79541,3705.386334,3640.247059,3640.247059,1906106
12-01-2022,3643.929199,3709.16298,3621.885826,3705.386789,3203744
13-01-2022,3679.803223,3703.498911,3641.191766,3698.778673,6684507
14-01-2022,3746.12207,3754.476983,3644.070672,3660.874764,3348123
17-01-2022,3794.268799,3816.784426,3740.599831,3769.298786,3442604
18-01-2022,3767.31665,3815.557347,3757.309653,3808.240978,2389041
19-01-2022,3702.109131,3794.173733,3698.184542,3794.173733,3102539
20-01-2022,3618.792969,3707.169188,3604.087188,3697.712124,6176776
21-01-2022,3625.365479,3642.435525,3566.353492,3600.304259,3112358
24-01-2022,3566.5896,3640.638219,3537.036277,3631.512246,3258414
25-01-2022,3565.21875,3602.574156,3520.108597,3564.84056,3330501
27-01-2022,3451.118896,3530.699993,3428.28018,3528.430391,5718297
28-01-2022,3489.704102,3527.295933,3448.045687,3448.045687,3143862
31-01-2022,3533.395264,3553.964376,3519.351432,3545.453019,2739393
01-02-2022,3594.299072,3601.250107,3533.537434,3565.313262,2105169
02-02-2022,3646.833252,3654.209809,3594.299211,3620.069713,1984212
03-02-2022,3616.948975,3671.705286,3608.863138,3641.915532,1960538
04-02-2022,3607.775391,3617.04336,3564.367558,3608.153812,2307366
07-02-2022,3573.824463,3623.757807,3552.214979,3585.17294,1919149
08-02-2022,3540.204834,3593.400823,3518.97377,3585.693407,2946443
09-02-2022,3556.376465,3572.831665,3542.711053,3546.399216,1638721
10-02-2022,3565.644531,3584.038476,3553.964964,3584.038476,2112459
11-02-2022,3494.338379,3548.763837,3489.657178,3548.763837,3851488
14-02-2022,3531.03125,3587.30078,3508.570723,3521.810613,5951745
15-02-2022,3610.517822,3626.783926,3544.507472,3580.444314,3931683
16-02-2022,3606.073242,3644.847205,3599.358634,3635.295478,3256906
17-02-2022,3578.741943,3626.783872,3573.824316,3617.326809,3134372
18-02-2022,3587.916016,3608.768891,3553.587052,3564.368015,3688883
21-02-2022,3517.460449,3619.975166,3504.362554,3603.141545,7465922
22-02-2022,3391.681641,3468.756719,3376.172147,3451.828665,5408531
23-02-2022,3370.308594,3426.199705,3362.600948,3414.945891,2426203
24-02-2022,3216.962402,3294.699661,3206.985384,3285.38436,5039136
25-02-2022,3329.595459,3338.343242,3274.035214,3279.709452,2549723
28-02-2022,3361.22998,3370.261524,3268.266986,3300.51567,3288942
02-03-2022,3353.617188,3378.016463,3315.647162,3359.622516,2761341
03-03-2022,3351.96167,3384.305013,3338.438253,3369.410138,1928039
04-03-2022,3333.000732,3367.849878,3297.725834,3311.391247,2370257
07-03-2022,3295.692627,3355.366802,3245.239322,3262.687561,3054130
08-03-2022,3404.496338,3413.055029,3272.144749,3272.144749,3300992
09-03-2022,3435.373291,3455.611316,3401.753381,3409.271701,2719654
10-03-2022,3424.355469,3483.982302,3418.728562,3483.982302,2005441
11-03-2022,3403.739502,3442.229942,3397.781736,3407.616991,1623423
14-03-2022,3445.208984,3450.268607,3385.629471,3385.629471,1765688
15-03-2022,3398.77417,3460.339749,3390.735665,3460.339749,3651133
16-03-2022,3457.407959,3468.851099,3419.910792,3442.844173,3090475
17-03-2022,3473.343262,3508.570826,3461.569263,3495.898452,3600452
21-03-2022,3429.793945,3512.306843,3418.729225,3495.331456,2413831
22-03-2022,3500.012695,3509.517093,3428.186327,3442.371926,2907611
