Date,Close,High,Low,Open,Volume
14-08-2020,848.0864868,856.4464217,846.7080014,850.0875299,4663873
17-08-2020,851.5549316,864.850761,848.5311117,848.5311117,9008210
18-08-2020,860.493042,861.9604954,852.6222937,857.2469378,6141761
19-08-2020,853.1558228,864.0503906,851.5105424,863.4723441,6622744
20-08-2020,849.4649048,858.6696797,846.0408657,852.799976,5656501
21-08-2020,843.817688,856.8467245,841.8166448,856.4909618,6513773
24-08-2020,842.5724487,846.6634479,835.2797485,842.2166861,5798574
25-08-2020,834.3014526,843.6841637,830.2993669,842.6613868,6233918
26-08-2020,845.5963135,848.6645903,834.5683755,837.1030083,5153601
27-08-2020,842.2612305,854.6232513,840.6159501,853.7783556,6154280
28-08-2020,831.7668457,847.1081749,829.8102595,846.1743657,7593610
31-08-2020,825.8526001,845.329439,813.4016668,831.7668151,12808355
01-09-2020,813.0016479,831.5446267,811.1784318,823.762792,6907773
02-09-2020,821.7617188,823.8961865,812.4235174,813.7575462,5678118
03-09-2020,832.0337524,844.3513176,821.7617415,823.9851229,8827948
04-09-2020,817.4483032,826.6530791,813.268336,813.7574689,8650342
07-09-2020,822.6954346,824.9188156,812.0232057,817.2259498,6700385
08-09-2020,835.3688354,846.6636236,823.1402379,827.0534109,12891964
09-09-2020,825.0966797,841.3273608,823.540313,831.5444845,5528947
10-09-2020,836.0357056,837.7699536,822.4730816,831.8112817,5171884
11-09-2020,841.0606689,848.5757084,827.9871764,831.4556728,6671903
14-09-2020,870.1424561,881.3927319,843.3729148,851.110292,21871587
15-09-2020,873.7443237,884.0163337,864.1393281,871.1207232,11608203
16-09-2020,890.9088135,894.3773097,873.3441027,876.9015124,10059251
17-09-2020,899.135376,908.028901,884.905736,884.905736,15628241
18-09-2020,891.2645264,906.0722112,888.5519581,899.1352734,12897633
21-09-2020,898.1569824,916.9222958,889.7970484,890.2417246,14140637
22-09-2020,896.022583,909.3628696,881.5261491,897.3566117,12625762
23-09-2020,906.9171143,922.2584432,896.556137,907.2728769,13486204
24-09-2020,867.4744263,897.3566477,862.6719012,892.0205329,14427432
25-09-2020,899.5355225,902.6037992,867.1186157,867.8300867,13311078
28-09-2020,898.6017456,903.7155222,888.0184296,902.5148639,8554526
29-09-2020,897.3566895,914.2543873,892.9988404,905.3608621,8708463
30-09-2020,896.6896362,910.652481,893.7992407,897.3566506,8048817
01-10-2020,905.0495605,912.9203082,899.8023593,907.6731069,5563358
05-10-2020,932.6639404,938.1779912,905.4053184,905.4053184,14212509
06-10-2020,938.9337769,942.7135245,917.233557,938.2667626,9090819
07-10-2020,948.5389404,953.3858681,920.9245022,929.2844373,9284008
08-10-2020,972.6846313,999.6320512,967.971129,969.394071,21482613
09-10-2020,984.3353882,990.1161794,968.015683,973.9298988,10567867
12-10-2020,1006.835938,1013.861844,989.0488876,998.7428515,14633537
13-10-2020,1029.692383,1037.029541,1009.904289,1009.904289,17523825
14-10-2020,1011.193604,1036.006555,1005.946403,1033.427412,16649573
15-10-2020,985.624939,1054.772098,971.6176367,1049.435983,44288251
16-10-2020,1002.744812,1010.259796,975.5306508,990.6051303,18365685
19-10-2020,1001.321899,1012.972394,991.8947856,1009.414985,12902123
20-10-2020,1011.638428,1018.041722,987.181235,995.0964936,10448776
21-10-2020,1021.287903,1026.624018,1009.415069,1014.884608,19811433
22-10-2020,1004.123535,1029.870248,999.4544343,1015.640607,11271335
23-10-2020,1009.022461,1020.258791,1006.910053,1018.460978,9069862
26-10-2020,999.9884033,1015.40467,991.6286394,1008.79773,6309368
27-10-2020,980.5719604,997.516323,968.2569875,993.9206977,10172479
28-10-2020,967.7177734,993.0668912,961.8748816,984.7520066,7608392
29-10-2020,966.1894531,972.6166554,952.9305847,961.8297793,6935616
30-10-2020,953.380127,974.0549746,945.964149,963.6276821,8800386
02-11-2020,963.8973389,970.7738848,944.8404581,957.3352785,7183119
03-11-2020,955.1330566,970.2796078,950.5935353,963.6276784,7204782
04-11-2020,983.3585205,1003.179449,958.9533018,960.0319455,15702690
05-11-2020,992.3925171,1009.471736,987.8979858,997.696086,9568890
06-11-2020,1000.258118,1007.763964,981.3360937,995.9883122,8807127
09-11-2020,1021.652161,1030.146783,1007.808979,1015.135089,10160320
10-11-2020,980.7518311,1001.24683,969.0210591,1001.24683,15622869
11-11-2020,1009.022461,1012.483229,977.1112829,985.2014407,12514800
12-11-2020,1004.752686,1026.551167,1001.15706,1014.056345,9180976
13-11-2020,1010.550476,1018.460896,1004.078394,1006.775113,6363212
14-11-2020,1018.865417,1024.438703,1016.753009,1022.056579,1136144
17-11-2020,1010.101013,1029.247762,1000.168164,1029.023036,12813968
18-11-2020,998.2803955,1018.191081,990.1002607,1014.415719,9839468
19-11-2020,985.8756104,1002.010937,983.2238803,988.7970562,10092343
20-11-2020,991.8083496,996.8871927,980.7967463,994.1904735,8063554
23-11-2020,1024.618286,1029.067938,990.5497167,993.2914247,10546363
24-11-2020,1024.798096,1038.146831,1018.775358,1029.247638,8515426
25-11-2020,1002.864868,1027.899387,998.9096584,1022.056496,8958701
26-11-2020,1000.662476,1006.730093,987.2688591,1006.730093,10962256
27-11-2020,988.7969971,1007.674031,980.7068398,1004.977312,25306145
01-12-2020,1022.820496,1024.977893,993.3364353,993.3364353,8933802
02-12-2020,1025.562378,1031.450149,1007.674118,1019.359902,6741637
03-12-2020,1012.573181,1031.045754,1009.202282,1031.045754,16212632
04-12-2020,1019.944092,1022.0565,1002.28056,1011.269624,10564055
07-12-2020,1027.899536,1036.439147,1021.157738,1031.315425,7792141
